,Topic,tweet
1833,  درخواست تکمیل ظرفیت برای استخدامی آموزش و پرورش,15
1834,  درخواست اصلاح و افزایش حقوق کارگری از رییس جمهور جدید,8
1835,  مخالفت با انتصاب آقای بیژن زنگنه به عنوان وزیر نفت,-1
1836,  درخواست از دکتر پزشکیان جهت اثبات سهم مالکانه صندوق ذخیره فرهنگیان,30
1837,  درخواست کاهش مالیات کارکنان دولت یا افزایش سقف معافیت مالیاتی در سال ۱۴۰۳,0
1838,  درخواست محکومیت اقدام توهین‌آمیز نسبت به قرآن و نهج‌البلاغه,38
1839,  درخواست اخراج مهاجرین غیرقانونی افغان از ایران,36
1840,  درخواست از رئیس جمهور منتخب برای حذف نگرش توسعه آب‌محور و انتقال آب بین حوضه‌ای و سدسازی از بدنه دولت,30
1841,  درخواست عدم استفاده از وزرای دولت روحانی در دولت پزشکیان,43
1842,  درخواست توسعه عدالت آموزشی با کیفیت‌بخشی به مدارس دولتی,61
1843,  درخواست تغییر بانک حقوق بازنشستگان فرهنگی از صادرات به قرض الحسنه مهر یا رسالت,-1
1844,  درخواست استفاده از آقای اکبر اعلمی در کابینه دولت توسط دکتر پزشکیان,43
1845,  حمایت از ابلاغ دستورالعمل طراحی جدید پوشش های ویژه بیماران,-1
1846,  پبشنهاد دکتر کامران باقری لنکرانی برای وزیر بهداشت دولت چهاردهم,49
1847,  درخواست برقراری فرآیند جابه‌جایی محل خدمت معلمان,-1
1848,  درخواست تبدیل وضعیت نیروی انسانی و حذف پیمانکار از رئیس جمهور محترم دکتر پزشکیان,30
1849,  درخواست اضافه شدن رشته حسابداری به واجدین شرایط شرکت در آزمون آموزگاری آموزش پرورش,-1
1850,  تقاضای انتخاب رئیس سازمان آموزش و پرورش استثنایی متخصص و آگاه به موضوعات آموزش و پرورش استثنایی,69
1851,  درخواست انتصاب دکتر سعید محمد درکابینه دولت برای بهره‌گیری از تجربه و تخصص ایشان,43
1852,  درخواست انتخاب جناب آقای رضا شرفخانی به عنوان ریاست سازمان بنیاد شهید و امور ایثارگران,-1
1853,  درخواست رسیدگی به وضعیت کد ۱۹ آموزگاری آموزش و پرورش,15
1854,  حمایت از دکتر عبدالحسن مقتدایی برای تصدی وزارت نفت,49
1855,  درخواست از رئیس جمهور برای ابقای آقای مخبر در جایگاه معاون اول ریاست جمهوری ایران,-1
1856,  اعتراض و تقاضای لغو نامه جدید سازمان راهداری در مورد تأسیس شرکت حمل ونقل بین المللی,-1
1857,  درخواست محاکمه سعید جلیلی، درصورت اقدام غیر تخصصی در ممانعت از قرارداد کرسنت,-1
1858,  درخواست شفاف سازی در تحویل دولتها از طریق رسانه ملی,-1
1859,  اعتراض به تغییرقرارداد فرهنگیان از بیمه دانا به بیمه معلم,-1
1860,  درخواست پیگیری حادثه سقوط هلیکوپترشهید رئیسی و همراهانشان و بررسی دقیق احتمال ترور,-1
1861,  درخواست واگذاری حق ممیزی کتاب به ناشرین,1
1862,  درخواست از مجلس برای عدم دادن رای اعتماد به اعضای احتمالی نزدیک به آقای روحانی در کابینه مسعود پزشکیان,43
1863,  درخواست افزایش تکمیل ظرفیت آزمون دبیری و هنرآموز,56
1864,  درخواست از آقای سعید جلیلی برای ثبت و تشکیل حزب,14
1865,  درخواست وضع قانون منع حیوان آزاری,3
1866,  درخواست صدور احکام همسان‌سازی بازنشستگان و پرداخت معوقات آن,-1
1867,  تشکر از خدمات هیئت دولت پس از شهادت رئیس جمهور آیت الله رئیسی,30
1868,  درخواست ایجاد ظرفیت اعتراض به نمره نهایی آزمون آموزگاری۱۴۰۳,-1
1869,  دعوت از آقایان جلیلی و زنگنه برای مناظره به منظور شفاف‌سازی ابعاد قرارداد کرسنت و خسارات ناشی از توقف یک جانبه آن در پیشگاه مردم شریف ایران,-1
1870,  کابینه جوان و متخصص,-1
1871,  درخواست حمایت از آقای یونس الستی به‌عنوان وزیر پیشنهادی صنعت، معدن و تجارت,49
1872,  درخواست جلوگیری از تغییرات خارج از ضوابط در روزهای پایانی دولت سیزدهم,-1
1873,  درخواست پاسخگویی قوه قضائیه پیرامون حبس فعالین سیاسی اجتماعی در ایام انتخابات,-1
1874,  تقاضای انتخاب وزیر شایسته آموزش و پرورش,69
1875,  درخواست تصویب قانون نظارتی قوی برای مقابله با موضوع خرید رای در انتخابات,-1
1876,  درخواست برخورد با مهدی جمشیدی و محسن منصوری به‌دلیل اظهارات اهانت‌آمیز,-1
1877,  درخواست انتخاب دکترحاج مجید اصفهانی فرزند شهید اصفهانی به عنوان رئیس بنیاد شهید کشور,-1
1878,  پیشنهاد طرح نظارت مستمر و کارآمد بر نامزدهای ریاست جمهوری,-1
1879,  درخواست همکاری مسئولین ذی‌ربط در مورد اخراج اتباع غیر قانونی (خصوصا میلیون‌ها اتباع غیرقانونی افغانستانی),36
1880,  مطالبه شفافیت فرآیند انتخاب کابینه,-1
1881,  درخواست همکاری و استفاده از برنامه‌های دکتر جلیلی در دولت آقای پزشکیان,43
1882,  درخواست آزادی دکتر محسن برهانی,-1
1883,  شکایت از آقای آذری جهرمی به جهت طالبان و دیوانه خواندن حامیان دکتر جلیلی,14
1884,  دولت ایران,50
1885,  درخواست برائت جستن آقای دکتر پزشکیان از وزرای دکتر روحانی بعد از ریاست جمهوری,14
1886,  درخواست پیگیری آزادی حاج‌سید کاظم روح‌بخش,-1
1887,  حمایت از آقای پزشکیان و درخواست از ایشان برای ادامه راه امام حسین (ع),-1
1888,  درخواست شفاف‌سازی منابع هزینه‌های تبلیغاتی و بسته‌های معیشتی ستاد آقای جلیلی,-1
1889,  جهاد بزرگ برای جهش ایران عزیز,44
1890,  درخواست رسیدگی به کرایه‌های معوقه ذوب آهن,6
1891,  اهم مطالبات بانوان عضو هیئت علمی دانشگاه‌های کشور از رئیس دولت چهاردهم,-1
1892,  حمایت جمعی از خانواده‌های شهدای مدافع حرم از نامزد ریاست جمهوری جبهه انقلاب,14
1893,  حمایت بازاریان از دکتر پزشکیان,14
1894,  درخواست تبدیل وضعیت کادر آموزشی مدارس غیر دولتی,-1
1895,  پویش دانشجویی «حال خوب» در حمایت از گفتمان دکتر مسعود پزشکیان,13
1896,  حمایت استادان دانشگاه فرهنگیان از دکتر پزشکیان,14
1897,  درخواست رفع مشکلات داوطلبین آزمون دفتریاری ۱۴۰۲,11
1898,  درخواست واریز فوری پول کالابرگ به فروشندگان همکار طرح,-1
1899,  درخواست شفاف‌سازی مجموع آرای ثبت‌شده در تمامی صندوق‌های رأی‌گیری,33
1900,  درخواست برگزاری مناظره درموردشفاف سازی کرسنت بین آقایان جلیلی و بیژن زنگنه,-1
1901,  حمایت جمعی از جامعه پزشکی از دکتر سعید جلیلی,14
1902,  درخواست شکایت از آقای مسعود پزشکیان برای بی احترامی به شهید سلیمانی در صدا و سیمای ملی,37
1903,  حمایت از دکتر سعید جلیلی,14
1904,  حمایت جمعی از معلمان فرهنگیان و اولیای دانش آموزان از دکتر مسعود پزشکیان,14
1905,  درخواست حمایت و استمرار فعالیت آقای طیبی در مدارس غیردولتی,43
1906,  حمایت از دکتر سعید جلیلی در انتخابات ریاست جمهوری,13
1907,  شکایت از مسعود پزشکیان بابت توهین به شهید سلیمانی,-1
1908,  حمایت جمعی از جامعه دفاتر اسناد رسمی از دکتر پزشکیان,14
1909,  حمایت یکپارچه جمعی از فرهنگیان و آینده سازان از سعید جلیلی,14
1910,  تقاضای ورود قوه قضائیه به موضوع نامزد‌های پوششی و صوری و محکومیت آنان,30
1911,  درخواست افزایش حقوق رزیدنتی بر اساس لولینگ,8
1912,  مطالبات کارکنان نظارت مشاور و سایر عناوین شغلی مشاور مشغول در پیمان‌های وزارت نفت,-1
1913,  دعوت از مردم شریف ایران برای انتخاب کاندیدای اصلح دکتر جلیلی,13
1914,  درخواست معرفی کابینه (قبل از انتخابات) از دکتر مسعود پزشکیان و دکتر سعید جلیلی,14
1915,  درخواست حمایت از دکتر سعید جلیلی,14
1916,  درخواست ورود و رسیدگی مدعی العموم به کوتاهی یا تخلف احتمالی آقای سعید جلیلی,30
1917,  درخواست تعویق آزمون‌های ارتقا، گواهینامه و دانشنامه دستیاری با توجه به انتخابات ریاست جمهوری,-1
1918,  درخواست برگزاری مناظره زنده تلویزیونی برای شفاف سازی موضوع قرارداد کرسنت بین آقای دکتر جلیلی و آقای زنگنه,-1
1919,  اعتراض به افزایش حقوق گمرکی تلفن همراه برند آیفون و ممنوعیت واردات آن,32
1920,  حمایت جمعی از کارآفرینان، سازندگان، نخبگان صنعت، شرکت‌های دانش‌بنیان و استارت‌آپ‌ها از دکتر سعید جلیلی,14
1921,  حمایت جمعی از دانشگاهیان از دکتر مسعود پزشکیان در دور دوم انتخابات,13
1922,  ۱+۱برای بازگشت عزت ایرانی,-1
1923,  درخواست از شورای نگهبان برای بررسی تخلفات انتخابات ریاست جمهوری ۱۴۰۳,-1
1924,  مطالبه ۱+۱ حمایت از دکتر پزشکیان در دور دوم انتخابات,13
1925,  درخواست مسئولیت‌پذیری مرکز ارزشیابی و تضمین کیفیت نظام آموزش و پرورش در قبال طراحی سوالات امتحانات نهایی ۱۴۰۳,-1
1926,  اعتراض به  عضویت فرهنگیان دربیمه معلم و رضایت ازبیمه دانا فرهنگیان,76
1927,  حمایت جمعی از حقوقدانان و وکلای دادگستری از دکتر سعید جلیلی,14
1928,  درخواست بر قراری همسانسازی بازنشستگان کارگری تأمین اجتماعی بدون فوت وقت,8
1929,  درخواست عدم پرداخت یارانه انرژی به مهاجرین افغانی,1
1930,  اقتصاد سیاسی و پزشکیان,-1
1931,  حمایت جمعی از بانوان از دکتر جلیلی گزینه اصلح چهاردهمین دوره انتخابات ریاست جمهوری,13
1932,  سعید جلیلی، مناسب‌ترین فرد برای ریاست جمهوری,13
1933,  درخواست تعقیب قضایی کاندیداهای پوششی انتخابات ریاست جمهوری,-1
1934,  حمایت جمعی از نخبگان، شرکت‌های دانش‌بنیان و فعالین اکوسیستم فناوری و نوآوری کشور از مسعود پزشکیان، برای ایران,14
1935,  درخواست محاکمه آقایان قاضی‌زاده هاشمی و علیرضا زاکانی به اتهام اتلاف منابع ملی,-1
1936,  حمایت جمعی از فرزندان شهید سراسر کشور از دکتر سعید جلیلی,14
1937,  حمایت جمعی از معلمان از دکتر جلیلی,14
1938,  حمایت از دکتر زاکانی، کاندید مردمی و ضد فساد,14
1939,  حمایت از دکتر جلیلی عزیز؛ رهرو شهید جمهور,14
1940,  درخواست از صداوسیما برای دعوت مخبر برای دفاع از شهید رئیسی,-1
1941,  حمایت جمعی از ماماها از دکتر سعید جلیلی در انتخابات ریاست جمهوری به دلیل حمایت ایشان از قانون جوانی جمعیت و نقش مامایی,13
1942,  حمایت میلیونی دانش آموزان و معلمان از دکتر پزشکیان,14
1943,  اعتراض به سبک سوالات حقوق پیام‌نور,47
1944,  وحدت به نفع مردم و نظام,13
1945,  درخواست تعویق امتحانات ۹ تیر ماه ۱۴۰۳,-1
1946,  حمایت از دکتر قالیباف برای ایران قوی و داشتن دولت کارآمد,14
1947,  حمایت جمعی از  جامعه نظام مهندسی کشور از دکتر مسعود پزشکیان,14
1948,  اعتراض به عدم تعهد و پاسخگویی شرکت سایپا,23
1949,  انصراف دکتر قالیباف،زاکانی و قاضی زاده هاشمی به نفع دکتر جلیلی,14
1950,  نه به ۳۲ سال عدم خدمت,27
1951,  درخواست رسیدگی به مشکل مرجوعی برای فروشندگان دیجی کالا,-1
1952,  درخواست از برادر عزیزمان دکتر قالیباف در خصوص گرفتن تصمیمی انقلابی,-1
1953,  یک جهان فرصت، یک ایران جهش,44
1954,  حمایت اقشار مختلف مردم، جمعی از دانشگاهیان و هنرمندان و حوزویان از دکتر سعید جلیلی,14
1955,  حمایت‌ از دکتر محمد فاضلی,14
1956,  اعتراض به سوالات سخت و غیراستاندارد تیزهوشان نهم۱۴۰۳,40
1957,  درخواست پذیرش دانشگاه فرهنگیان از طریق کنکور تیر ۱۴۰۳,2
1958,  درخواست تعلق سختی و زیان‌آور به حسابرسان و حسابداران,41
1959,  اجماع برای ایران,44
1960,  اعتراض به افزایش قیمت محصولات مدیران خودرو,23
1961,  درخواست برگزاری تکمیل ظرفیت پرورشی,56
1962,  درخواست لغو برگزاری کنسرت علیرضا قربانی در تخت جمشید,68
1963,  انتقاد دانشجویان دانشگاه آزاد از آقای پزشکیان,-1
1964,  درخواست اجماع کاندیداهای جریان انقلاب,13
1965,  تقدیر و حمایت از مواضع انقلابی دکتر زاکانی,14
1966,  حمایت جمعی از فعالان جهادی از دکتر سعید جلیلی,14
1967,  حمایت از دکتر قالیباف؛ دولت پیشرفت و خدمت,14
1968,  درخواست برگزاری آزمون مجدد ششم و نهم ۱۴۰۳ و حذف سوالات دشوار ‌و تقسیم نمرات آن بین دفترچه دوم,-1
1969,  درخواست جرم‌انگاری سگ‌گردانی,4
1970,  اعلام حمایت جمعی از مردم کُرد، لُر، لَک، عرب، فارس و... از دکتر مسعود پزشکیان,14
1971,  پویش انتخاباتی حمایت از کاندیدای محبوب و مردمی سعید جلیلی,13
1972,  دعوت به انتخاب؛ نه از سر خوش‌بینی! که برای زنده ماندن,27
1973,  درخواست لغو کنسرت علیرضا قربانی در تخت جمشید,68
1974,  رای ایران جلیلی,44
1975,  درخواست انتشار مناظره نمایندگان کاندیداهای ریاست جمهوری در حوزه معدن,-1
1976,  دعوت از علی دایی جهت حمایت از دکتر مسعود پزشکیان,14
1977,  اعتراض به بخشنامه‌های صادره از سوی معاونت حمل و نقل سازمان راهداری,-1
1978,  حمایت جمعی از فعالان صنعت میراث فرهنگی، گردشگری و صنایع دستی کشور از دکتر مسعود پزشکیان,14
1979,  درخواست لغو کنسرت تخت جمشید علیرضا قربانی برای جلوگیری از تخریب تخت جمشید,68
1980,  بیانیه جمعی از روسا و اساتید برجسته دانشگاه‌های کشور برای وحدت نامزدهای محترم انتخابات ریاست جمهوری چهاردهم,13
1981,  درخواست لغو یا تغییر مکان کنسرت علیرضا قربانی در تخت‌جمشید,68
1982,  اجماع نیروهای انقلاب در چهاردهمین دوره ریاست جمهوری,13
1983,  سوالات دانشجویان اقتصاد از نامزدهای ریاست‌جمهوری,-1
1984,  درخواست حذف بیمه تکمیلی فرهنگیان با بیمه دانا,76
1985,  حمایت از حاج مصطفی پورمحمدی برای انتخاب ایشان به عنوان ریاست جمهور کشور ایران اسلامی,-1
1986,  درخواست اعضای بسیجی طرح هوشمندسازی کشاورزی جهت استخدام در طرح ناظرین کشاورزی,86
1987,  رأی من با افتخار دکتر سعید جلیلی,14
1988,  پویش اجماع نیروهای انقلاب برای مردم,13
1989,  اعتراض به نحوه طراحی سوالات آزمون تیزهوشان ششم۱۴۰۳,40
1990,  درخواست افزایش سهمیه سوخت ماهیانه کامیون‌های سنگین,-1
1991,  زنان برای ایران,44
1992,  درخواست از نامزدهای جبهه انقلاب برای تأکید بر گفتمان وحدت,13
1993,  درخواست جلوگیری از فعالیت شرکت‌های بزرگ مقیاس,4
1994,  درخواست حمایت از نیروهای خرید خدمات باسابقه کارنامه سبز۱۴۰۲,1
1995,  درخواست تغییر اساسی در حقوق و دستمزد پرسنل نیروگاه‌های کشور,0
1996,  وحدت بر مسیر ابراهیم,44
1997,  حمایت روستاییان و عشایر از انتخاب اصلح مردمی دکتر محمد باقر قالیباف,-1
1998,  حمایت از کاندیداتوری ریاست جمهوری دکتر محمدباقر قالیباف,13
1999,  اعتراض به طرح سوالات آزمون استعدادهای درخشان ششم به هفتم ۱۴۰۳,40
2000,  با دکتر پزشکیان، تغییر را ایجاد کنیم,14
2001,  دعوت به وحدت و ائتلاف نیروهای انقلابی,13
2002,  حمایت از دکتر پزشکیان برای تعامل جهانی,14
2003,  حمایت از دکتر پزشکیان، کاندیدای مردمی ریاست جمهوری,14
2004,  من کارشناس مسعود پزشکیان هستم,14
2005,  حمایت از دکتر پزشکیان,14
2006,  حمایت از دکتر سعید جلیلی,14
2007,  ائتلاف نامزدهای انقلابی به نمایندگی دکتر قالیباف,13
2008,  حمایت جمعی از وکلا و حقوقدانان از دکتر پزشکیان,14
2009,  حمایت جمعی از جامعه فرهنگیان کشور از دکتر سعید جلیلی,14
2010,  اعتراض سراسری به نتیجه پذیرش کنکور فرهنگیان,40
2011,  مطالبه از جبهه انقلاب برای رسیدن به کاندیدای واحد,13
2012,  محکوم کردن اقدام دولت کانادا در تروریستی اعلام کردن سپاه پاسداران انقلاب اسلامی,38
2013,  درخواست اقدام تاریخ ساز,3
2014,  حمایت جمعی از جامعه پزشکی از دکتر مسعود پزشکیان,14
2015,  درخواست برگزاری تکمیل ظرفیت برای آزمون‌های پرورشی و آموزگاری,56
2016,  حمایت کارگران و بازنشستگان از نامزدی دکتر قالیباف در انتخابات ریاست جمهوری,13
2017,  پویش مردمی اجماع جبهه انقلاب,13
2018,  دعوت از دکتر طیب‌نیا برای پیوستن به کمپین دکتر پزشکیان، برای ایران,14
2019,  درخواست عدم همکاری بازنشستگان با آموزش و پرورش برای تبدیل وضعیت نیروهای خرید خدمات,15
2020,  درخواست شفاف‌سازی نامزدین ریاست جمهوری برای برنامه دولتشان در حوزه گندم، آرد و نان,13
2021,  حمایت جمعی از فرزندان شهید شاغل در صنعت نفت از دکتر سعید جلیلی,14
2022,  حمایت جمعی از جامعه فرهنگیان استان البرز از دکتر سعید جلیلی,14
2023,  اعتراض به سقف ظالمانه‌ی صندوق بازنشستگی فولاد,-1
2024,  درخواست عدم تبعیض در پرداخت فوق‌العاده خاص وزارت بهداشت درمان و آموزش پزشکی,-1
2025,  درخواست از آقایان زاکانی و پورمحمدی برای انصراف به نفع آقای جلیلی,14
2026,  درخواست از قالیباف، زاکانی و قاضی‌زاده هاشمی برای انصراف به نفع دکتر جلیلی,14
2027,  حمایت از دکتر پزشکیان، برای نجات ایران با تشکیل دولت ملی,14
2028,  اعتراض به سوالات امتحان‌های نهایی به خصوص فنون و زبان,40
2029,  درخواست اختصاص بودجه برای تصحیح اوراق امتحانات نهایی در هر سه پایه متوسطه دوم,-1
2030,  درخواست مطالبات بازنشستگان ۹۸/۷/۱,8
2031,  حمایت از دکتر مسعود پزشکیان,14
2032,  درخواست آزادی دکتر صادق زیباکلام و دیگر زندانیان بیمار,-1
2033,  حمایت جمعی از دانشگاهیان پیام‌نور از دکتر مسعود پزشکیان,14
2034,  درخواست بررسی چرایی افزایش تولد نوزادان با نیازهای ویژه (طیف اوتیسم، بیش فعال و...),-1
2035,  درخواست اجماع کاندیداهای جبهه انقلاب روی دکترمحمد باقر قالیباف,13
2036,  حمایت از نامزدی دکتر جلیلی در انتخابات ریاست جمهوری,13
2037,  اعتراض به سوالات امتحان نهایی زبان انگلیسی دوازدهم ۱۴۰۳,40
2038,  درخواست حق مطالبات کادر پرستاری و سلامت کشور جهت بالا بردن کمیت و کیفیت زندگی کادر سلامت,-1
2039,  درخواست تهیه و تحویل آرد کامل به نانوایی‌ها بدون سبوس‌گیری,32
2040,  درخواست آموزش دروس اختصاصی نهج‌البلاغه و واجبات شرعی برای تمام دوره‌های تحصیلی از اول ابتدایی تا پایان دکترا با کلاس عملی در جامعه,-1
2041,  درخواست حذف بخش شنیداری آزمون‌های نهایی زبان انگلیسی پایه‌های دهم، یازدهم و دوازدهم,88
2042,  بیانیه جمعی از معلمان انقلابی ایران اسلامی در مورد حضور حداکثری و انتخاب اصلح در انتخابات ۱۴۰۳,13
2043,  درخواست از آقایان جلیلی و زاکانی و قاضی‌زاده برای انصراف به نفع آقای قالیباف,14
2044,  درخواست آزادسازی مدارک گروه علوم پزشکی,-1
2045,  درخواست ارائه دروس همه چارت درسی دانشگاه پیام نور و افزایش واحد از ۹ به ۱۴,2
2046,  درخواست تغییر زمان مناظره آخر به دلیل تداخل با مهمانی کیلومتری غدیر,11
2047,  درخواست حمایت ایل سترگ قشقایی از آقای دکتر مسعود پزشکیان,14
2048,  درخواست حمایت از استخدام معلمان پیش‌دبستانی,-1
2049,  حمایت جمعی از حقوقدانان از جناب آقای دکتر مسعود پزشکیان,14
2050,  درخواست لغو امتحانات ارتقا و گواهینامه دستیاران تخصصی پزشکی در سال جاری با توجه به مسئله انتخابات,-1
2051,  درخواست اتحاد کاندیداهای انقلابی دکتر قالیباف، دکتر جلیلی، دکتر زاکانی، دکتر قاضی زاده و حجت الاسلام پورمحمدی به نفع دولت متحد انقلابی,14
2052,  درخواست لغو اصلاحیه بخشنامه انتخاب واحد تابستان دانشگاه پیام نور,2
2053,  درخواست وحدت در جبهه انقلاب به نفع مدیر جهادی و انقلابی دکتر قالیباف,13
2054,  درخواست ائتلاف کاندیدهای انقلابی ریاست‌جمهوری ۱۴۰۳ باهم,13
2055,  به کارگر بگو!,27
2056,  اعتراض به سختی و نامفھومی سوالات پیام نور,40
2057,  درخواست رسیدگی به مطالبه دانشجویان دانشگاه پیام نور,12
2058,  حمایت جمعی از خانواده‌های شهدا و ایثارگر از کاندیداتوری دکتر مسعود پزشکیان,14
2059,  درخواست تجمیع آراء نیروهای انقلاب در حمایت از دکتر جلیلی,14
2060,  درخواست برگزاری دوباره امتحان زبان خرداد ۱۴۰۳,11
2061,  اعتراض به سوالات امتحان نهایی زبان انگلیسی یازدهم ۱۴۰۳,40
2062,  اعلام حمایت جمعی از دانشجویان استان خوزستان از کاندید اصلح ریاست جمهوری اسلامی ایران,13
2063,  حمایت جمعی از استادان دانشگاه از دکتر پزشکیان,14
2064,  حمایت جمعی از جوانان-دانشجویان از دکتر پزشکیان,14
2065,  حمایت جمعی از پزشکان از دکتر جلیلی,14
2066,  درخواست افزایش تعطیلات پایان هفته,22
2067,  درخواست قیمت‌گذاری کیت‌ها و مواد مصرفی آزمایشگاهی,58
2068,  مطالبه رعایت اخلاق در انتخابات ریاست جمهوری,13
2069,  درخواست رسیدگی به حقوق معلمان مدارس غیردولتی,-1
2070,  درخواست تأیید صلاحیت دکتر احمدی نژاد برای انتخابات ۱۴۰۳,13
2071,  دعوت از آقای قالیباف برای بازگشت به مجلس,14
2072,  اعتراض و شکایت از سایپا برای خلف وعده فروش بهمن ماه ساینا اس دو گانه پیش فروش مبعث سال۱۴۰۱,23
2073,  درخواست تاییدشدن کد نوزده‌ها و تعیین تکلیف قبل از مهر ۱۴۰۲,-1
2074,  درخواست استخدام نیروهای پیش دبستانی از سال ۹۲ به بعد,19
2075,  درخواست تغییر ودیعه مسکن از ریال به طلا,-1
2076,  درخواست حکم حکومتی از رهبر انقلاب برای تأیید صلاحیت دکتر محمود احمدی‌نژاد,55
2077,  درخواست ثبت تالاب بین‌المللی جازموریان در کنوانسیون جهانی رامسر,0
2078,  درخواست الزام به بیمه نمودن دارایی سهامداران بازار سرمایه حداقل با نرخ سود بانکی,-1
2079,  درخواست کاهش دستمزد فوتبالیست‌ها,8
2080,  اعتراض به اصلاحیه پاسخنامه زیست دهم تجربی ۱۴۰۳,40
2081,  درخواست افزایش فرصت ترمیم معدل برای کنکوری‌های ۱۴۰۴,-1
2082,  درخواست بررسی عوامل فساد فدراسیون فوتبال,-1
2083,  درخواست برای واردات خودرو معلولین,32
2084,  درخواست انصراف جناب آقای محمد باقر قالیباف از انتخابات ریاست جمهوری ۱۴۰۳,13
2085,  درخواست از مدعی العموم برای محاکمه رئیس سازمان بورس,30
2086,  درخواست پیگیری مجدد پخش زنده تلویزیونی فوتبال پایه لیگ کشور و لیگ برتر تهران,37
2087,  درخواست امکان ترمیم نمره‌ی دروس نهایی در شهریور و دی ماه,-1
2088,  درخواست برگزاری دوره‌های پودمان، (دوره مهارت آموزان نو معلمان) بصورت مجازی,-1
2089,  درخواست بررسی و برگزاری امتحان مجدد فیزیک در پایه‌های دهم و یازدهم ۱۴۰۳,-1
2090,  درخواست قرارگیری حوزه hse در مشاغل سخت و زیان‌آور,41
2091,  اعتراض به تأخیر در اعلام نتایج اولیه آزمون مرکز وکلا ۱۸ اسفند,-1
2092,  درخواست لغو امتیاز کرونا در آزمون استخدامی تأمین اجتماعی,21
2093,  درخواست حذف گواهی تجرد از مراحل تمدید اقامت خانم‌های مجرد افغانستانی و تسهیل آن,-1
2094,  اعتراض به سوالات پایه یازدهم تجربی,40
2095,  درخواست طراحی سوالات مفهومی استاندارد برای همه دروس,-1
2096,  اعتراض به امتحان نهایی فیزیک یازدهم تجربی,40
2097,  درخواست اعلام نتایج آزمون اسفند مرکز وکلا,-1
2098,  درخواست برگزاری امتحانات ترمیم معدل در شهریور یا دی ماه,-1
2099,  اعتراض به امتحان نهایی تمام پایه‌ها از نهم تا یازدهم (مربوط به تمام اقشار جامعه نه فقط دانش آموزان),-1
2100,  درخواست برگزاری مجدد آزمون علوم (پایه نهم ۹),-1
2101,  درخواست لغو شروع ساعات کار از ۶ صبح,63
2102,  درخواست پیگیری دلیل عدم‌ برخورد با اتباع,-1
2103,  درخواست تغییر فرآیند اتمام دوره سربازان نخبه وزارت بهداشت,-1
2104,  درخواست رفع فیلترینگ اینترنت,16
2105,  اعتراض به بلاتکلیفی پذیرفته شدگان سردفتری ۱۴۰۱,40
2106,  دعوت از دکتر حمیدرضا حاجی بابایی برای ریاست جمهوری,13
2107,  اعتراض به آزمون علوم فنون یازدهم,40
2108,  درخواست جمعی از زنان ایرانی از آقای قالیباف برای شرکت در انتخابات ریاست جمهوری ۱۴۰۳,13
2109,  دعوت از مهندس محسن منصوری جهت نامزدی در انتخابات ۱۴۰۳,13
2110,  اعتراض به سوالات آزمون نهایی فیزیک پایه‌ی دهم تجربی (۱۴۰۳),40
2111,  درخواست حذف ارزش افزوده از تالار، رستوران، تهیه غذا، کترینگ,58
2112,  ما به کمتر از شهید رئیسی راضی نیستیم,-1
2113,  درخواست معرفی کابینه پیشنهادی از نامزدهای ریاست جمهوری,-1
2114,  درخواست جامعه جودو و دفاع شخصی از مسئولان,-1
2115,  دعوت از محمد مخبر جهت نامزد شدن در انتخابات ریاست جمهوری,13
2116,  درخواست اجرای عدالت در تبدیل وضعیت نیروهای خرید خدمات آموزش و پرورش به کار معین,15
2117,  تقاضای برگزاری مجدد آزمون نهایی خرداد ۱۴۰۳,11
2118,  دعوت مردمی از دکتر قالیباف برای حضور در انتخابات ریاست جهموری,13
2119,  دعوت از محمدباقر قالیباف برای نامزدی در انتخابات ریاست جمهوری ۱۴۰۳,13
2120,  درخواست ترمیم حقوق و مزایای کارگران بخش تولید و حذف شرکت‌های واسطه تأمین نیرو,-1
2121,  اعتراض و مخالفت با قطعی برق واحدهای صنعتی در شهرک‌های صنعتی,-1
2122,  درخواست تعویق آزمون تیزهوشان ششم و نهم ۱۴۰۳,-1
2123,  دعوت از مهندس محسن منصوری جهت ثبت نام در انتخابات ریاست جمهوری,13
2124,  درخواست لغو مصوبه تأثیر نمرات نهایی دانش آموزان از مقام معظم رهبری و سازمان سنجش و وزارت آموزش و پرورش,15
2125,  اعتراض به امتحان نهایی دینی یازدهم,40
2126,  درخواست حذف بند بوم از بخشنامه نقل و انتقالات فرهنگیان ماده ۲۸,-1
2127,  درخواست گواهینامه موتور بانوان,78
2128,  درخواست از جناب آقای دکتر محمدباقر قالیباف برای حضور در انتخابات ریاست جمهوری,13
2129,  دعوت از دکتر علی آقامحمدی برای شرکت در انتخابات ریاست جمهوری,13
2130,  نجات محیط‌زیست با دعوت از آیت الله اعرافی برای ثبت‌نام در انتخابات ریاست‌جمهوری,13
2131,  دعوت جامعه حقوقی از جناب آقای دکتر سعید محمد برای حضور در انتخابات ریاست جمهوری,13
2132,  دعوت جمعی از جوانان ایران اسلامی از دکتر محمد علی وکیلی جهت حضور در انتخابات ریاست جمهوری ۱۴۰۳,13
2133,  دعوت از دکتر مهدی عسگری برای حضور در انتخابات ریاست جمهوری,13
2134,  درخواست از وزیر تعاون، کار و رفاه اجتماعی,-1
