,Topic,tweet
60,  درخواست پرداخت معوقات رتبه بندی نو معلمان ورودی ۹۸ دانشگاه فرهنگیان,-1
61,  اعتراض دانشجویان دانشگاه آزاد اسلامی نسبت به افزایش شهریه,-1
62,  درخواست رسیدگی فوری به وضعیت کارکنان و کارگران پیمانکاری شرکت مخابرات,-1
63,  درخواست جلوگیری از تضعیف نیروهای متخصص و رسمی وزارت نفت,-1
64,  درخواست اصلاح شیوه نقل و انتقالات فرهنگیان,61
65,  هشدار به رئیس جمهور مسعود پزشکیان,30
66,  درخواست رسیدگی به وضعیت معیشتی اساتید و کارکنان و بازنشستگان دانشگاه آزاد کل کشور,-1
67,  درخواست تغییر مدیران کل فرهنگ و ارشاد اسلامی استان‌ها,71
68,  ‌درخواست توجه ویژه به بیماری‌های ناهنجاری‌های عروقی لنفاژیوم، AVM، همانژیوم، پورت واین,1
69,  درخواست رسیدگی به وضعیت فارغ التحصیلی دانشجو معلمان ورودی ۹۹,-1
70,"  درخواست تاسیس اولین دولت مجازی مردمی از پایین به بالا؛ ""وفاق، اتحاد و رفاه ملی""",-1
71,  درخواست افزایش حقوق کارگران درنیمه دوم سال ۱۴۰۳,-1
72,  درخواست ابطال دستورالعمل تعرفه نظارت و طراحی گاز فشار ضعیف مورخ ۱۴۰۳/۰۵/۰۶ به شماره ۶۸۳۳۳/۴۰۰,87
73,  اعتراض به مردودی دانش‌آموزان با تراز علمی و سوابق تحصیلی بالا دردانشگاه فرهنگیان,-1
74,  درخواست تغییر طرف قرار دادبیمه تکمیلی بازنشستگان,76
75,  درخواست صدور احکام طرح همسان‌سازی حقوق بازنشستگان و پرداخت یک‌جای معوقات,8
76,  درخواست از ریاست محترم سازمان برنامه و بودجه برای سپردن ریاست مرکزآمار به متخصص آمار,-1
77,  درخواست حمایت از تولید بلوکه چدنی پژو ۴۰۵,-1
78,  درخواست استعفای مدیران فدراسیون شنا,-1
79,  درخواست برداشت سقف حقوق و برگشت مطالبات ماده ۱۰ به حساب حقوق و اصلاح اساسنامه نفت به ما قبل,-1
80,  درخواست ایجاد تکمیل ظرفیت کنکور سراسری دانشگاه فرهنگیان استان سیستان و بلوچستان,-1
81,  درخواست برخورد با کسانی که امنیت صنفی و اجتماعی دفاتر اسنادرسمی را به خطر می‌اندازند,25
82,  درخواست تعیین نقش حقوقی سازمان بهینه‌سازی و هدفمندسازی یارانه‌ها در ارتباط با مطالبات مالی داروخانه ها,-1
83,  درخواست تسریع در روند کار تعریض و تکمیل _جاده تربت حیدریه-رشتخوار,-1
84,  درخواست بازگشت مرکز آموزش نیروی انسانی (ضمن خدمت) به وزارت آموزش و پرورش,15
85,  درخواست دعوت از دکتر حمزه زاده به عنوان معاونت گردشگری,-1
86,  درخواست قرار گرفتن سابقه کشت از دهه ۸۰بعنوان مبنای صدور سند برای اراضی کشاورزی,-1
87,  درخواست توجه و نگاهی ویژه سازمان آموزش فنی و حرفه‌ای کشور,-1
88,  درخواست رسیدگی به نایاب شدن داروهای پیوند,1
89,  درخواست حذف آزمون اصلح,-1
90,  درخواست اصلاح جاده‌های کشور و رسیدگی به حق و حقوق رانندگان سنگین,-1
91,  درخواست عدالت در پرداخت حقوق کارمندان دولت,0
92,  درخواست حذف غذا از مراسم فاتحه‌خوانی در ایل بختیاری,-1
93,  درخواست مدیریت استفاده از سموم و کودهای شیمیایی در کشاورزی و باغبانی,0
94,  درخواست پرداخت حق‌التدریس به‌صورت ماهانه,8
95,  اعتراض به اختلال سامانه کارا در زمان ثبت مدارک آزمون استخدامی دبیری,-1
96,  درخواست ابطال قرارداد بیمه دانا با آموزش و پرورش,15
97,  درخواست برکناری مهدی تاج رئیس فدراسیون فوتبال ایران,-1
98,  اعتراض به افزایش قیمت ۶۰ درصدی دانشگاه پیام نور,46
99,  اعتراض به برگزاری حضوری امتحانات پایان ترم عمومی دانشگاه پیام نور,-1
100,  اعتراض به افزایش سقف بودجه,47
101,  درخواست افزایش حقوق روانشناسان و رد شدن بیمه در مراکز mmt ترک اعتیاد,-1
102,  درخواست اصلاحیه امتیاز ایثارگری داوطلبانه کارکنان موظفی مناطق جنگی سال‌های ۱۳۵۹ تا ۱۳۶۷ (استان‌های ایلام،کرمانشاه،کردستان،آذربایجان غربی،خوزستان،بوشهر),33
103,  درخواست برچیده شدن إطعام در مراسم تدفین,-1
104,  درخواست تغییر فوری رئیس سازمان ملی استاندارد,-1
105,  درخواست همسان‌سازی و افزایش حقوق کارکنان وزارت فرهنگ و ارشاد اسلامی,71
106,  درخواست پذیرش پزشکان در رشته‌های تخصصی به‌عنوان ضرورت جامعه‌ی امروز ایران,-1
107,  درخواست رفع فیلتر اینستاگرام و واتساپ,16
